date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-07-31,UM,UM,United States Minor Outlying Islands,,,,,UM,UMI,0,,,,,,,,,,,,,,,,,,,,,,,,Q16645,country/UMI,2185386,19.3,166.633333,POINT(166.633333 19.3),,,,,
2020-07-31,VI,VI,United States Virgin Islands,,,,,VI,VIR,0,21,0,,,406,8,,,,,,,,,,,,,,,,,,Q11703,country/VIR,286898,18.333333,-64.833333,POINT(-64.833333 18.333333),,,,,
2020-07-31,US_VA,US,United States of America,VA,Virginia,,,US,USA,1,984,33,209,15731,89888,2174,11937,1111196,186,0,0,13271,,,1334,279,145,,,,,,,Q1370,geoId/51,224042,37.5,-79.0,POINT(-79 37.5),22.0,20.7222222222222,23.0,0.0,
2020-07-31,US_VA_51035,US,United States of America,VA,Virginia,51035,Carroll County,US,USA,2,2,3,,,307,14,,,,,,,,,,,,,,,,,,Q488917,geoId/51035,2532620,36.73,-80.73,POINT(-80.73 36.73),,,,,
2020-07-31,US_WI,US,United States of America,WI,Wisconsin,,,US,USA,1,909,15,998,15412,57020,943,42317,939215,47,7,,4637,900,,255,108,,,,,,,,Q1537,geoId/55,165466,44.5,-89.5,POINT(-89.5 44.5),22.2777777777778,18.6111111111111,25.5,0.0,
2020-07-31,US_NE,US,United States of America,NE,Nebraska,,,US,USA,1,445,5,195,4063,26211,338,18997,270956,0,,,1610,,,150,,,,,,,,,Q1553,geoId/31,161648,41.5,-100.0,POINT(-100 41.5),22.0555555555556,20.0,23.7222222222222,0.0,
2020-07-31,US_NE_31055,US,United States of America,NE,Nebraska,31055,Douglas County,US,USA,2,148,6,,,10255,134,,,,,,,,,,,,,,,,,,Q490695,geoId/31055,,41.3,-96.15,POINT(-96.15 41.3),22.7222222222222,20.0,26.2777777777778,0.0,
2020-07-31,US_NE_31079,US,United States of America,NE,Nebraska,31079,Hall County,US,USA,2,13,-1,,,1724,45,,,,,,,,,,,,,,,,,,Q496152,geoId/31079,,40.87,-98.5,POINT(-98.5 40.87),,,,,
2020-07-31,US_NJ,US,United States of America,NJ,New Jersey,,,US,USA,1,690,10,52,36765,183535,15819,32475,2096329,0,,,21565,,,695,113,45,,,,,,,Q1408,geoId/34,224951,40.0,-74.5,POINT(-74.5 40),,,,,
2020-07-31,US_WI_55079,US,United States of America,WI,Wisconsin,55079,Milwaukee County,US,USA,2,179,5,,,19248,438,,,,,,,,,,,,,,,,,,Q502294,geoId/55079,270623,43.0,-87.96713,POINT(-87.96713 43),,,,,
2020-07-31,US_AL_01073,US,United States of America,AL,Alabama,01073,Jefferson County,US,USA,2,271,3,,,11382,225,,,,,,,,,,,,,,,,,,Q112271,geoId/01073,,33.583333333333,-86.866666666667,POINT(-86.866666666667 33.583333333333),27.3333333333333,25.7777777777778,29.1296296296296,0.0,
2020-07-31,US_AL_01097,US,United States of America,AL,Alabama,01097,Mobile County,US,USA,2,220,6,,,8135,192,,,,,,,,,,,,,,,,,,Q495738,geoId/01097,,30.786388888889,-88.213888888889,POINT(-88.213888888889 30.786388888889),,,,,
2020-07-31,US_AR,US,United States of America,AR,Arkansas,,,US,USA,1,752,11,676,752,42511,453,35413,503469,105,0,8,2852,,395,507,,100,,,,,,,Q1612,geoId/05,161646,34.8,-92.2,POINT(-92.2 34.8),,,,,
2020-07-31,US_AR_05007,US,United States of America,AR,Arkansas,05007,Benton County,US,USA,2,50,3,,,4458,38,,,,,,,,,,,,,,,,,,Q61020,geoId/05007,,36.352222222222,-94.234166666667,POINT(-94.234166666667 36.352222222222),,,,,
2020-07-31,US_AZ,US,United States of America,AZ,Arizona,,,US,USA,1,3203,67,356,20477,174108,3695,22714,933743,88,,,11260,,,2302,719,505,,,,,,,Q816,geoId/04,162018,34.286667,-111.656944,POINT(-111.656944 34.286667),,,,,
2020-07-31,US_AZ_04013,US,United States of America,AZ,Arizona,04013,Maricopa County,US,USA,2,2441,43,,,117293,2054,,,,,,,,,,,,,,,,,,Q58691,geoId/04013,1832201,33.513888888889,-112.47583333333,POINT(-112.47583333333 33.513888888889),,,,,
2020-07-31,US_AZ_04019,US,United States of America,AZ,Arizona,04019,Pima County,US,USA,2,283,9,,,16167,459,,,,,,,,,,,,,,,,,,Q58688,geoId/04019,1832206,32.065277777778,-111.82083333333,POINT(-111.82083333333 32.065277777778),37.8888888888889,34.25,40.0555555555556,0.0,
2020-07-31,US_AZ_04021,US,United States of America,AZ,Arizona,04021,Pinal County,US,USA,2,115,4,,,7990,136,,,,,,,,,,,,,,,,,,Q58712,geoId/04021,1832207,32.986944444444,-111.32722222222,POINT(-111.32722222222 32.986944444444),41.0555555555556,38.6111111111111,42.7222222222222,0.0,
