CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
California,EIP,2020,2020,10,0-4 yr,0,0
Colorado,EIP,2020,2020,10,0-4 yr,0,0
Entire Network,COVID-NET,2020,2020,10,0-4 yr,0,0
Connecticut,EIP,2020,2020,10,0-4 yr,0,0
Entire Network,EIP,2020,2020,10,0-4 yr,0,0
Georgia,EIP,2020,2020,10,0-4 yr,0,0
Iowa,IHSP,2020,2020,10,0-4 yr,0,0
Entire Network,IHSP,2020,2020,10,0-4 yr,0,0
Maryland,EIP,2020,2020,10,0-4 yr,0,0
Michigan,IHSP,2020,2020,10,0-4 yr,0,0
Minnesota,EIP,2020,2020,10,0-4 yr,0,0
New Mexico,EIP,2020,2020,10,0-4 yr,0,0
New York,EIP,2020,2020,10,0-4 yr,0,0
Ohio,IHSP,2020,2020,10,0-4 yr,0,0
Oregon,EIP,2020,2020,10,0-4 yr,0,0
Tennessee,EIP,2020,2020,10,0-4 yr,0,0
Utah,IHSP,2020,2020,10,0-4 yr,0,0
Utah,IHSP,2020,2020,11,0-4 yr,0,0
Tennessee,EIP,2020,2020,11,0-4 yr,0,0
Oregon,EIP,2020,2020,11,0-4 yr,0,0
Ohio,IHSP,2020,2020,11,0-4 yr,0,0
New York,EIP,2020,2020,11,0-4 yr,0,0
New Mexico,EIP,2020,2020,11,0-4 yr,0,0
Minnesota,EIP,2020,2020,11,0-4 yr,0,0
Michigan,IHSP,2020,2020,11,0-4 yr,0,0
Maryland,EIP,2020,2020,11,0-4 yr,0,0
Entire Network,IHSP,2020,2020,11,0-4 yr,0,0
Iowa,IHSP,2020,2020,11,0-4 yr,0,0
Georgia,EIP,2020,2020,11,0-4 yr,0,0
Entire Network,EIP,2020,2020,11,0-4 yr,0,0
Connecticut,EIP,2020,2020,11,0-4 yr,0,0
Entire Network,COVID-NET,2020,2020,11,0-4 yr,0,0
Colorado,EIP,2020,2020,11,0-4 yr,0,0
California,EIP,2020,2020,11,0-4 yr,0,0
California,EIP,2020,2020,12,0-4 yr,0,0
Colorado,EIP,2020,2020,12,0-4 yr,0,0
Entire Network,COVID-NET,2020,2020,12,0-4 yr,0,0
Connecticut,EIP,2020,2020,12,0-4 yr,0,0
Entire Network,EIP,2020,2020,12,0-4 yr,0,0
Georgia,EIP,2020,2020,12,0-4 yr,0,0
Iowa,IHSP,2020,2020,12,0-4 yr,0,0
Entire Network,IHSP,2020,2020,12,0-4 yr,0,0
Maryland,EIP,2020,2020,12,0-4 yr,0,0
Michigan,IHSP,2020,2020,12,0-4 yr,0,0
Minnesota,EIP,2020,2020,12,0-4 yr,0,0
New Mexico,EIP,2020,2020,12,0-4 yr,0,0
New York,EIP,2020,2020,12,0-4 yr,0,0
Ohio,IHSP,2020,2020,12,0-4 yr,0,0
Oregon,EIP,2020,2020,12,0-4 yr,0,0
Tennessee,EIP,2020,2020,12,0-4 yr,0,0
Utah,IHSP,2020,2020,12,0-4 yr,0,0
Utah,IHSP,2020,2020,13,0-4 yr,0,0
Tennessee,EIP,2020,2020,13,0-4 yr,0,0
Oregon,EIP,2020,2020,13,0-4 yr,1,1
Ohio,IHSP,2020,2020,13,0-4 yr,0,0
New York,EIP,2020,2020,13,0-4 yr,1.8,1.8
New Mexico,EIP,2020,2020,13,0-4 yr,0,0
Minnesota,EIP,2020,2020,13,0-4 yr,0,0
Michigan,IHSP,2020,2020,13,0-4 yr,0,0
Maryland,EIP,2020,2020,13,0-4 yr,0.6,0.6
