,population,county_name,state_name,cumulative_confirmed,cumulative_deceased,latitude,longitude
"Autauga County, Alabama",55869.0,Autauga County,Alabama,1015.0,21.0,32.536666666666996,-86.648333333333
"Baldwin County, Alabama",223234.0,Baldwin County,Alabama,3101.0,22.0,30.733055555556003,-87.720277777778
"Barbour County, Alabama",24686.0,Barbour County,Alabama,598.0,5.0,31.865833333333,-85.396111111111
"Bibb County, Alabama",22394.0,Bibb County,Alabama,363.0,2.0,32.997777777778,-87.12638888888901
"Blount County, Alabama",57826.0,Blount County,Alabama,767.0,3.0,33.966666666666995,-86.583333333333
"Bullock County, Alabama",10101.0,Bullock County,Alabama,437.0,12.0,32.097777777778,-85.717222222222
"Butler County, Alabama",19448.0,Butler County,Alabama,753.0,36.0,31.749444444444,-86.68222222222202
"Calhoun County, Alabama",113605.0,Calhoun County,Alabama,1450.0,9.0,33.769444444444,-85.820833333333
"Chambers County, Alabama",33254.0,Chambers County,Alabama,859.0,38.0,32.911111111111005,-85.393888888889
"Cherokee County, Alabama",26196.0,Cherokee County,Alabama,238.0,8.0,34.169722222222,-85.59416666666701
"Chilton County, Alabama",44428.0,Chilton County,Alabama,699.0,6.0,32.845277777778,-86.71444444444401
"Choctaw County, Alabama",12589.0,Choctaw County,Alabama,276.0,12.0,32.020277777778,-88.263055555556
"Clarke County, Alabama",23622.0,Clarke County,Alabama,492.0,9.0,31.673611111111,-87.838055555556
"Clay County, Alabama",13235.0,Clay County,Alabama,198.0,5.0,33.272222222222,-85.861111111111
"Cleburne County, Alabama",14910.0,Cleburne County,Alabama,111.0,1.0,33.677222222222,-85.5025
"Coffee County, Alabama",52342.0,Coffee County,Alabama,714.0,5.0,31.403333333333002,-85.986666666667
"Colbert County, Alabama",55241.0,Colbert County,Alabama,1058.0,11.0,34.676666666666996,-87.817222222222
"Conecuh County, Alabama",12067.0,Conecuh County,Alabama,371.0,10.0,31.425555555556002,-86.993888888889
"Coosa County, Alabama",10663.0,Coosa County,Alabama,96.0,2.0,32.936388888889,-86.246388888889
"Covington County, Alabama",37049.0,Covington County,Alabama,775.0,21.0,31.241944444443998,-86.4525
"Crenshaw County, Alabama",13772.0,Crenshaw County,Alabama,286.0,4.0,31.728055555556,-86.31
"Cullman County, Alabama",83768.0,Cullman County,Alabama,1131.0,11.0,34.133333333333,-86.866666666667
"Dale County, Alabama",49172.0,Dale County,Alabama,766.0,18.0,31.433333333333,-85.6
"Dallas County, Alabama",37196.0,Dallas County,Alabama,1332.0,23.0,32.324722222222,-87.105277777778
"DeKalb County, Alabama",71513.0,DeKalb County,Alabama,1661.0,12.0,34.457222222222,-85.806666666667
"Elmore County, Alabama",81209.0,Elmore County,Alabama,1604.0,35.0,32.596944444444,-86.151388888889
"Escambia County, Alabama",36633.0,Escambia County,Alabama,1011.0,15.0,31.126666666667,-87.162222222222
"Etowah County, Alabama",102268.0,Etowah County,Alabama,1908.0,19.0,34.05,-86.03333333333298
"Fayette County, Alabama",16302.0,Fayette County,Alabama,171.0,5.0,33.72,-87.738611111111
"Franklin County, Alabama",31362.0,Franklin County,Alabama,1174.0,20.0,34.433333333333,-87.85
"Geneva County, Alabama",26271.0,Geneva County,Alabama,220.0,1.0,31.092222222222,-85.838333333333
"Greene County, Alabama",8111.0,Greene County,Alabama,242.0,11.0,32.852222222222,-87.950833333333
"Hale County, Alabama",14651.0,Hale County,Alabama,455.0,25.0,32.760833333333004,-87.629722222222
"Henry County, Alabama",17205.0,Henry County,Alabama,245.0,4.0,31.512777777778002,-85.234444444444
"Houston County, Alabama",105882.0,Houston County,Alabama,1278.0,14.0,31.152222222222,-85.293333333333
"Jackson County, Alabama",51626.0,Jackson County,Alabama,759.0,5.0,34.783333333333005,-86.0
"Jefferson County, Alabama",658573.0,Jefferson County,Alabama,11382.0,225.0,33.583333333333,-86.866666666667
"Lamar County, Alabama",13805.0,Lamar County,Alabama,196.0,2.0,33.780555555556,-88.09638888888901
"Lauderdale County, Alabama",92729.0,Lauderdale County,Alabama,1021.0,10.0,34.899166666667,-87.650277777778
"Lawrence County, Alabama",32924.0,Lawrence County,Alabama,300.0,0.0,34.521388888889,-87.310277777778
"Lee County, Alabama",164542.0,Lee County,Alabama,2565.0,43.0,32.601388888889,-85.35361111111101
"Limestone County, Alabama",98915.0,Limestone County,Alabama,1167.0,12.0,34.811111111111,-86.98416666666702
"Lowndes County, Alabama",9726.0,Lowndes County,Alabama,558.0,26.0,32.15,-86.65
"Macon County, Alabama",18068.0,Macon County,Alabama,310.0,12.0,32.385277777778,-85.693611111111
"Madison County, Alabama",372909.0,Madison County,Alabama,4812.0,30.0,34.765833333333,-86.557777777778
"Marengo County, Alabama",18863.0,Marengo County,Alabama,511.0,14.0,32.241944444444,-87.789444444444
"Marion County, Alabama",29709.0,Marion County,Alabama,552.0,24.0,34.136388888888995,-87.884166666667
"Marshall County, Alabama",96774.0,Marshall County,Alabama,2871.0,29.0,34.368055555556005,-86.303888888889
"Mobile County, Alabama",413210.0,Mobile County,Alabama,8135.0,192.0,30.786388888888997,-88.213888888889
"Monroe County, Alabama",20733.0,Monroe County,Alabama,432.0,4.0,31.570833333333002,-87.36972222222202
"Montgomery County, Alabama",226486.0,Montgomery County,Alabama,6139.0,144.0,32.219166666667,-86.209444444444
"Morgan County, Alabama",119679.0,Morgan County,Alabama,2160.0,15.0,34.451666666667,-86.857222222222
"Perry County, Alabama",8923.0,Perry County,Alabama,440.0,3.0,32.635833333333004,-87.29194444444401
"Pickens County, Alabama",19930.0,Pickens County,Alabama,361.0,10.0,33.278611111111005,-88.09305555555599
"Pike County, Alabama",33114.0,Pike County,Alabama,652.0,7.0,31.799166666667,-85.93861111111099
"Randolph County, Alabama",22722.0,Randolph County,Alabama,394.0,11.0,33.289166666667,-85.46027777777799
"Russell County, Alabama",57961.0,Russell County,Alabama,1186.0,1.0,32.286666666666996,-85.19388888888899
"Shelby County, Alabama",217702.0,Shelby County,Alabama,3061.0,32.0,33.265277777778,-86.667777777778
"Sumter County, Alabama",12427.0,Sumter County,Alabama,365.0,17.0,32.591666666666995,-88.204166666667
