date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-07-31,UM,UM,United States Minor Outlying Islands,,,,,UM,UMI,0,,,,,,,,,,,,,,,,,,,,,,,,Q16645,country/UMI,2185386.0,19.3,166.633333,POINT(166.633333 19.3),,,,,
2020-07-31,VI,VI,United States Virgin Islands,,,,,VI,VIR,0,21.0,0.0,,,406.0,8.0,,,,,,,,,,,,,,,,,,Q11703,country/VIR,286898.0,18.333333,-64.833333,POINT(-64.833333 18.333333),,,,,
2020-07-31,US_VA,US,United States of America,VA,Virginia,,,US,USA,1,984.0,33.0,209.0,15731.0,89888.0,2174.0,11937.0,1111196.0,186.0,0.0,0.0,13271.0,,,1334.0,279.0,145.0,,,,,,,Q1370,geoId/51,224042.0,37.5,-79.0,POINT(-79 37.5),22.0,20.7222222222222,23.0,0.0,
2020-07-31,US_VA_51035,US,United States of America,VA,Virginia,51035.0,Carroll County,US,USA,2,2.0,3.0,,,307.0,14.0,,,,,,,,,,,,,,,,,,Q488917,geoId/51035,2532620.0,36.73,-80.73,POINT(-80.73 36.73),,,,,
2020-07-31,US_WI,US,United States of America,WI,Wisconsin,,,US,USA,1,909.0,15.0,998.0,15412.0,57020.0,943.0,42317.0,939215.0,47.0,7.0,,4637.0,900.0,,255.0,108.0,,,,,,,,Q1537,geoId/55,165466.0,44.5,-89.5,POINT(-89.5 44.5),22.2777777777778,18.611111111111104,25.5,0.0,
2020-07-31,US_NE,US,United States of America,NE,Nebraska,,,US,USA,1,445.0,5.0,195.0,4063.0,26211.0,338.0,18997.0,270956.0,0.0,,,1610.0,,,150.0,,,,,,,,,Q1553,geoId/31,161648.0,41.5,-100.0,POINT(-100 41.5),22.0555555555556,20.0,23.7222222222222,0.0,
2020-07-31,US_NE_31055,US,United States of America,NE,Nebraska,31055.0,Douglas County,US,USA,2,148.0,6.0,,,10255.0,134.0,,,,,,,,,,,,,,,,,,Q490695,geoId/31055,,41.3,-96.15,POINT(-96.15 41.3),22.7222222222222,20.0,26.2777777777778,0.0,
2020-07-31,US_NE_31079,US,United States of America,NE,Nebraska,31079.0,Hall County,US,USA,2,13.0,-1.0,,,1724.0,45.0,,,,,,,,,,,,,,,,,,Q496152,geoId/31079,,40.87,-98.5,POINT(-98.5 40.87),,,,,
2020-07-31,US_NJ,US,United States of America,NJ,New Jersey,,,US,USA,1,690.0,10.0,52.0,36765.0,183535.0,15819.0,32475.0,2096329.0,0.0,,,21565.0,,,695.0,113.0,45.0,,,,,,,Q1408,geoId/34,224951.0,40.0,-74.5,POINT(-74.5 40),,,,,
2020-07-31,US_WI_55079,US,United States of America,WI,Wisconsin,55079.0,Milwaukee County,US,USA,2,179.0,5.0,,,19248.0,438.0,,,,,,,,,,,,,,,,,,Q502294,geoId/55079,270623.0,43.0,-87.96713000000001,POINT(-87.96713 43),,,,,
