county_state,population,positive_tests,deaths,latitude,longitude,deaths_per_100K,death_risk_index,cluster,hotspot
"Autauga County, Alabama",55869.0,1015.0,21.0,32.536666666666996,-86.648333333333,37.58792890511733,1412.8523993761548,29.0,1.0
"Baldwin County, Alabama",223234.0,3101.0,22.0,30.733055555556003,-87.720277777778,9.855129594954173,97.1235793333416,83.0,0.0
"Barbour County, Alabama",24686.0,598.0,5.0,31.865833333333,-85.396111111111,20.254395203759216,410.24052507006434,29.0,1.0
"Bibb County, Alabama",22394.0,363.0,2.0,32.997777777778,-87.12638888888901,8.93096365097794,79.76211173508922,54.0,0.0
"Blount County, Alabama",57826.0,767.0,3.0,33.966666666666995,-86.583333333333,5.187977726282295,26.91511288840121,54.0,0.0
"Bullock County, Alabama",10101.0,437.0,12.0,32.097777777778,-85.717222222222,118.8001188001188,14113.46822692234,29.0,3.0
"Butler County, Alabama",19448.0,753.0,36.0,31.749444444444,-86.68222222222202,185.10900863842042,34265.345079098806,29.0,3.0
"Calhoun County, Alabama",113605.0,1450.0,9.0,33.769444444444,-85.820833333333,7.92218652348048,62.76103931281574,54.0,0.0
"Chambers County, Alabama",33254.0,859.0,38.0,32.911111111111005,-85.393888888889,114.27196728213147,13058.082506528524,94.0,3.0
"Cherokee County, Alabama",26196.0,238.0,8.0,34.169722222222,-85.59416666666701,30.539013589861046,932.6313510417176,33.0,1.0
"Chilton County, Alabama",44428.0,699.0,6.0,32.845277777778,-86.71444444444401,13.504996848834068,182.3849398870181,54.0,0.0
"Choctaw County, Alabama",12589.0,276.0,12.0,32.020277777778,-88.263055555556,95.32131225673207,9086.152570345419,83.0,3.0
"Clarke County, Alabama",23622.0,492.0,9.0,31.673611111111,-87.838055555556,38.1000762001524,1451.6158064574195,83.0,0.0
"Clay County, Alabama",13235.0,198.0,5.0,33.272222222222,-85.861111111111,37.778617302606726,1427.2239252968163,54.0,0.0
"Cleburne County, Alabama",14910.0,111.0,1.0,33.677222222222,-85.5025,6.706908115358819,44.98261646786598,33.0,1.0
"Coffee County, Alabama",52342.0,714.0,5.0,31.403333333333002,-85.986666666667,9.552558175079286,91.25136768827409,29.0,1.0
