zip,fips,city,state,county_name,state_name,latitude,longitude
36091,1001,Verbena,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36758,1001,Plantersville,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36006,1001,Billingsley,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36067,1001,Prattville,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36701,1001,Selma,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36003,1001,Autaugaville,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36008,1001,Booth,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36068,1001,Prattville,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36022,1001,Deatsville,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36703,1001,Selma,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36749,1001,Jones,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36066,1001,Prattville,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36051,1001,Marbury,AL,Autauga County,Alabama,32.536666666666996,-86.648333333333
36502,1003,Atmore,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36507,1003,Bay minette,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36527,1003,Daphne,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36532,1003,Fairhope,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36561,1003,Orange beach,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36550,1003,Little river,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36564,1003,Point clear,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36579,1003,Stockton,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36526,1003,Daphne,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36551,1003,Loxley,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36555,1003,Magnolia springs,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36542,1003,Gulf shores,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36567,1003,Robertsdale,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36533,1003,Fairhope,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36576,1003,Silverhill,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36580,1003,Summerdale,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36547,1003,Gulf shores,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36559,1003,Montrose,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36562,1003,Perdido,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36549,1003,Lillian,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36577,1003,Spanish fort,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36511,1003,Bon secour,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36530,1003,Elberta,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36480,1003,Uriah,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36535,1003,Foley,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36574,1003,Seminole,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36536,1003,Foley,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36578,1003,Stapleton,AL,Baldwin County,Alabama,30.733055555556003,-87.720277777778
36017,1005,Clio,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36016,1005,Clayton,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36317,1005,Clopton,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36072,1005,Eufaula,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36311,1005,Ariton,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36048,1005,Louisville,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36053,1005,Midway,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36374,1005,Skipperville,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
36027,1005,Eufaula,AL,Barbour County,Alabama,31.865833333333,-85.396111111111
35115,1007,Montevallo,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35184,1007,West blocton,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
36750,1007,Maplesville,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
36756,1007,Marion,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35074,1007,Green pond,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35042,1007,Centreville,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35111,1007,Mc calla,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35456,1007,Duncanville,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
36792,1007,Randolph,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35080,1007,Helena,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35188,1007,Woodstock,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35034,1007,Brent,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35035,1007,Brierfield,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
36793,1007,Lawley,AL,Bibb County,Alabama,32.997777777778,-87.12638888888901
35063,1009,Empire,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35146,1009,Springville,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35980,1009,Horton,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35013,1009,Allgood,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35126,1009,Pinson,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35097,1009,Locust fork,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35049,1009,Cleveland,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35172,1009,Trafford,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35957,1009,Boaz,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35031,1009,Blountsville,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35133,1009,Remlap,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35976,1009,Guntersville,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35016,1009,Arab,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35121,1009,Oneonta,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35079,1009,Hayden,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35180,1009,Warrior,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
35952,1009,Altoona,AL,Blount County,Alabama,33.966666666666995,-86.583333333333
36029,1011,Fitzpatrick,AL,Bullock County,Alabama,32.097777777778,-85.717222222222
36052,1011,Mathews,AL,Bullock County,Alabama,32.097777777778,-85.717222222222
36089,1011,Union springs,AL,Bullock County,Alabama,32.097777777778,-85.717222222222
36860,1011,Hurtsboro,AL,Bullock County,Alabama,32.097777777778,-85.717222222222
