BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,fips,state,county_name,state_name,latitude,longitude
200001,6,426,200001,6,1000,1090286,5128354,CALIFORNIA,6.0,2000,January,wildfire,C,71,SAN BERNARDINO,SGX,06-JAN-00 04:26:00,PST,06-JAN-00 10:00:00,1,0,0,0,30000.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,0.0,No direction,LAKE ARROWHEAD,0.0,No direction,LAKE ARROWHEAD,0.0,0.0,0.0,0.0,"Santa Ana winds blew over four semi-tractor trailer rigs on Interstates 10, 15, 215 and State Highway 60 between Devore and Ontario, causing a ten hour traffic delay between the AppleValley and the Inland Empire. Elsewhere around the Inland Empire, blowing sand and dust drifted across roads and  reduced visibilities to near zero, further disrupting travel. In Rialto, several roofs had shingles ripped off and one plate glass window was blown in. Trees and power lines and poles were also blown down, causing power outages to 10,000 customers. Sparks from power lines banging together started a house fire with the winds blowing embers onto adjacent fields and starting a wild fire.",No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200010,1,2300,200010,3,1600,1104073,5161397,CALIFORNIA,6.0,2000,October,wildfire,C,71,SAN BERNARDINO,SGX,01-OCT-00 23:00:00,PST,03-OCT-00 16:00:00,0,0,0,0,30000.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,0.0,No direction,LAKE ARROWHEAD,0.0,No direction,LAKE ARROWHEAD,0.0,0.0,0.0,0.0,Shifting winds spread a minor brush fire into 100 acres of rugged terrain that had not burned for several decades. Firefighters were unable to contain the blaze until two days later.,No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200008,15,1600,200008,15,1810,1100768,5155280,CALIFORNIA,6.0,2000,August,wildfire,C,71,SAN BERNARDINO,SGX,15-AUG-00 16:00:00,PST,15-AUG-00 18:10:00,0,0,0,0,0.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,0.0,No direction,CHINO,0.0,No direction,CHINO,0.0,0.0,0.0,0.0,A quick moving brush fire burned 70 acres of dairy and park land before it was brought under control.,No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200101,3,1022,200101,3,1050,1110102,5229046,CALIFORNIA,6.0,2001,January,wildfire,C,71,SAN BERNARDINO,SGX,03-JAN-01 10:22:00,PST,03-JAN-01 10:50:00,0,0,0,0,0.0,0.0,LAW ENFORCEMENT,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,2.0,SW,FONTANA,2.0,SW,FONTANA,0.0,0.0,0.0,0.0,Santa Ana winds fanned several brush fires throughout the Inland Empire and San Diego County valleys.,No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200105,11,1358,200105,11,1900,1114052,5243333,CALIFORNIA,6.0,2001,May,wildfire,C,71,SAN BERNARDINO,SGX,11-MAY-01 13:58:00,PST,11-MAY-01 19:00:00,1,0,0,0,0.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,0.0,No direction,APPLE VLY,0.0,No direction,APPLE VLY,0.0,0.0,0.0,0.0,"The first major brush fire of the season spread along the Mojave River bed. Approximately 25 acres were burned. 150 students from a nearby school were evacuated. One firefighter was treated for heat exhaustion. The fire came close to one house and building, but no damage was reported.",No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200106,14,1200,200106,20,500,1116226,5252034,CALIFORNIA,6.0,2001,June,wildfire,C,71,SAN BERNARDINO,SGX,14-JUN-01 12:00:00,PST,20-JUN-01 05:00:00,6,0,0,0,150000.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,5.0,S,RUNNING SPGS,5.0,S,RUNNING SPGS,0.0,0.0,0.0,0.0,"A control burn turned into a wild fire when an ember was blown into dry grass, burning 700 acres outside the original fireline. Dubbed the Hemlock Fire, a  total of 1074 acres were consumed, three structures damaged, one vehicle destroyed, 6 fire fighters injured, and 60 people evacuated.  Temperatures in the 90s and winds gusting between 15 to 25 mph were blamed for the rapid spread of the fire.",No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200106,24,1200,200106,24,1700,1116241,5252049,CALIFORNIA,6.0,2001,June,wildfire,C,71,SAN BERNARDINO,SGX,24-JUN-01 12:00:00,PST,24-JUN-01 17:00:00,0,0,0,0,25000.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,0.0,No direction,COLTON,0.0,No direction,COLTON,0.0,0.0,0.0,0.0,A brush fire consumed two outbuildings and two acres near East congress and South Fernando Streets in Colton.,No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200106,30,1615,200106,30,1645,1116244,5252052,CALIFORNIA,6.0,2001,June,wildfire,C,71,SAN BERNARDINO,SGX,30-JUN-01 16:15:00,PST,30-JUN-01 16:45:00,0,0,0,0,27000.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,0.0,No direction,RIALTO,0.0,No direction,RIALTO,0.0,0.0,0.0,0.0,"A brush fire burned two mobile homes, a shed, a car, and about 15 acres.",No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200106,17,1200,200106,17,1700,1116231,5252039,CALIFORNIA,6.0,2001,June,wildfire,C,71,SAN BERNARDINO,SGX,17-JUN-01 12:00:00,PST,17-JUN-01 17:00:00,0,0,0,0,0.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,4.0,NE,BIG BEAR LAKE,4.0,NE,BIG BEAR LAKE,0.0,0.0,0.0,0.0,About 25 acres had burned as of Sunday afternoon in Horse Thief Canyon.,No entry,6071,CA,San Bernardino County,California,34.83,-116.19
200106,16,1500,200106,24,1700,1116232,5252040,CALIFORNIA,6.0,2001,June,wildfire,C,71,SAN BERNARDINO,SGX,16-JUN-01 15:00:00,PST,24-JUN-01 17:00:00,2,0,0,0,0.0,0.0,NEWSPAPER,0.0,No magnitude included,0.0,no tornado,0.0,0.0,No Cross Over,0.0,No Cross Over,2.0,N,SAN ANTONIO HGTS,1.0,E,MT BALDY,0.0,0.0,0.0,0.0,"Over 300 acres had burned along Stoddard Canyon in steep terrain that had not burned in 30 years. Named the Shinn Fire, it was fully contained after eight days.",No entry,6071,CA,San Bernardino County,California,34.83,-116.19
